trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
324,False,"{'e': 0.19789869908361465, 'a': 0.5759999999999997}",25,9,18.814990183751327,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
325,False,"{'e': 0.19691167520419406, 'a': 0.5749999999999997}",30,12,23.20770124675901,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
326,False,"{'e': 0.19592957412690934, 'a': 0.5739999999999997}",30,18,23.731849542066108,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'e': 0.1949523712991825, 'a': 0.5729999999999997}",20,0,22.424521926722406,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
328,False,"{'e': 0.19398004229089189, 'a': 0.5719999999999997}",25,8,14.287708259928195,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
329,False,"{'e': 0.19301256279376172, 'a': 0.5709999999999997}",20,6,15.85572964668085,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
330,False,"{'e': 0.19204990862075408, 'a': 0.5699999999999997}",30,10,-17.581541210665307,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
331,False,"{'e': 0.19109205570546464, 'a': 0.5689999999999997}",20,16,7.788545398756085,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'e': 0.1901389801015205, 'a': 0.5679999999999997}",20,10,-25.59274765911392,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
333,False,"{'e': 0.18919065798198204, 'a': 0.5669999999999997}",25,8,23.80624160971329,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
334,False,"{'e': 0.1882470656387468, 'a': 0.5659999999999997}",25,11,23.098499970737706,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'e': 0.18730817948195702, 'a': 0.5649999999999997}",20,5,14.457307249563085,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
336,False,"{'e': 0.18637397603940997, 'a': 0.5639999999999997}",20,5,26.637657338252122,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'e': 0.18544443195597088, 'a': 0.5629999999999997}",20,8,-33.325216754081744,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
338,False,"{'e': 0.18451952399298926, 'a': 0.5619999999999997}",20,3,26.824424223106885,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'e': 0.18359922902771786, 'a': 0.5609999999999997}",30,8,26.896890636937925,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
340,False,"{'e': 0.18268352405273466, 'a': 0.5599999999999997}",20,7,18.50078186579854,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
341,False,"{'e': 0.1817723861753675, 'a': 0.5589999999999997}",20,13,-25.470670961826727,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 0}",1
342,False,"{'e': 0.1808657926171221, 'a': 0.5579999999999997}",20,15,6.193217631260474,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'e': 0.17996372071311217, 'a': 0.5569999999999997}",30,18,-19.887518470799016,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
344,False,"{'e': 0.17906614791149322, 'a': 0.5559999999999997}",30,0,45.25022148070706,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
345,False,"{'e': 0.1781730517728984, 'a': 0.5549999999999997}",25,17,-25.289403950805507,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
346,False,"{'e': 0.17728440996987782, 'a': 0.5539999999999997}",20,1,27.173874477634268,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'e': 0.17640020028634, 'a': 0.5529999999999997}",25,14,-4.850972267693884,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
348,False,"{'e': 0.17552040061699686, 'a': 0.5519999999999997}",20,6,-23.938011983109455,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
349,False,"{'e': 0.17464498896681085, 'a': 0.5509999999999997}",30,11,-15.814297508611594,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
350,False,"{'e': 0.17377394345044514, 'a': 0.5499999999999997}",30,17,26.540993318468857,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'e': 0.17290724229171636, 'a': 0.5489999999999997}",20,0,33.15351959311041,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
352,False,"{'e': 0.17204486382305054, 'a': 0.5479999999999997}",25,18,10.570961196159942,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'e': 0.1711867864849409, 'a': 0.5469999999999997}",30,19,-2.456205948325056,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
354,False,"{'e': 0.17033298882540943, 'a': 0.5459999999999997}",30,0,36.13680464307563,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
355,False,"{'e': 0.16948344949947006, 'a': 0.5449999999999997}",25,0,32.56960072345061,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
356,False,"{'e': 0.1686381472685955, 'a': 0.5439999999999997}",25,0,-0.13501810810397163,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
357,False,"{'e': 0.16779706100018585, 'a': 0.5429999999999997}",25,15,6.932621798556807,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
358,False,"{'e': 0.1669601696670407, 'a': 0.5419999999999997}",20,10,13.759974553788048,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
359,False,"{'e': 0.16612745234683307, 'a': 0.5409999999999997}",25,0,11.133413811512405,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
360,False,"{'e': 0.16529888822158653, 'a': 0.5399999999999997}",20,0,6.987213162279632,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
361,False,"{'e': 0.1644744565771549, 'a': 0.5389999999999997}",20,12,-3.9769800716219543,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
362,False,"{'e': 0.16365413680270405, 'a': 0.5379999999999997}",20,11,14.17000213128151,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'e': 0.16283790839019696, 'a': 0.5369999999999997}",20,13,13.438979670345724,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'e': 0.16202575093388075, 'a': 0.5359999999999997}",25,2,37.15102240493539,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'e': 0.16121764412977677, 'a': 0.5349999999999997}",25,16,-6.597528771915335,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
366,False,"{'e': 0.16041356777517274, 'a': 0.5339999999999997}",20,8,-32.38243035978691,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
367,False,"{'e': 0.15961350176811803, 'a': 0.5329999999999997}",25,1,33.44970493189645,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'e': 0.15881742610692068, 'a': 0.5319999999999997}",20,10,18.955187129273764,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'e': 0.1580253208896478, 'a': 0.5309999999999997}",20,13,10.829219044777194,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'e': 0.1572371663136276, 'a': 0.5299999999999997}",25,19,10.836435210673,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'e': 0.15645294267495474, 'a': 0.5289999999999997}",20,3,17.82333544749293,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
372,False,"{'e': 0.1556726303679973, 'a': 0.5279999999999997}",20,14,10.62729703128378,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'e': 0.15489620988490704, 'a': 0.5269999999999997}",30,16,12.241931506213183,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
374,False,"{'e': 0.1541236618151314, 'a': 0.5259999999999997}",20,9,-22.263263144745064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
375,False,"{'e': 0.15335496684492847, 'a': 0.5249999999999997}",20,10,6.035106414565267,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
376,False,"{'e': 0.15259010575688386, 'a': 0.5239999999999997}",20,12,4.991443288200367,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
377,False,"{'e': 0.1518290594294306, 'a': 0.5229999999999997}",25,18,12.256176646987162,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'e': 0.15107180883637084, 'a': 0.5219999999999997}",20,12,13.866768803873772,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'e': 0.15031833504640033, 'a': 0.5209999999999997}",25,10,-11.231986011765855,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
380,False,"{'e': 0.14956861922263504, 'a': 0.5199999999999997}",25,15,-2.0873928208368104,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
381,False,"{'e': 0.14882264262214037, 'a': 0.5189999999999997}",25,10,27.047035362503323,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'e': 0.14808038659546244, 'a': 0.5179999999999997}",20,13,-11.44171401060844,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
383,False,"{'e': 0.14734183258616193, 'a': 0.5169999999999997}",20,10,3.00230072109803,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
384,False,"{'e': 0.14660696213035015, 'a': 0.5159999999999997}",20,12,14.494428457630764,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'e': 0.14587575685622736, 'a': 0.5149999999999997}",25,14,22.11246076026716,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'e': 0.14514819848362373, 'a': 0.5139999999999997}",25,10,-34.10459968835526,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
